filename,gpu_id,width,height,total_ms,kernel_ms,h2d_ms,d2h_ms,io_ms
cat_1000x600 (Copy 873).jpg,1,1000,600,170.994,0.199904,0.115872,0.378464,150.717
cat_1000x600 (Copy 1091).jpg,0,1000,600,225.664,0.204576,0.260992,0.424384,205.395
cat_1000x600 (Copy 441).jpg,1,1000,600,143.259,0.198656,0.161184,0.572064,124.258
cat_1000x600 (Copy 1265).jpg,0,1000,600,269.66,0.203776,0.197248,0.573504,249.986
cat_1000x600 (Copy 886).jpg,0,1000,600,172.216,0.202752,0.251808,0.404288,153.457
cat_1000x600 (Copy 694).jpg,1,1000,600,178.003,0.19456,0.123872,0.400928,159.37
cat_1000x600 (Copy 1556).jpg,1,1000,600,144.178,0.188416,0.142688,0.373824,125.552
cat_1000x600 (Copy 1229).jpg,0,1000,600,174.78,0.196608,0.25136,0.405632,156.114
cat_1000x600 (Copy 1367).jpg,0,1000,600,160.107,0.204736,0.190752,0.537344,140.795
cat_1000x600 (Copy 1605).jpg,1,1000,600,181.594,0.19968,0.115328,0.497728,162.748
cat_1000x600 (Copy 1539).jpg,0,1000,600,127.232,0.202752,0.242464,0.532352,107.987
cat_1000x600 (Copy 1640).jpg,1,1000,600,140.785,0.193536,0.143616,0.481376,121.932
cat_1000x600 (Copy 221).jpg,1,1000,600,144.501,0.194688,0.1416,0.359712,125.764
cat_1000x600 (Copy 1559).jpg,0,1000,600,145.45,0.202752,0.24256,0.417088,126.689
cat_1000x600 (Copy 1477).jpg,1,1000,600,172.835,0.1976,0.15184,0.481152,153.832
cat_1000x600 (Copy 1113).jpg,0,1000,600,246.648,0.200704,0.197696,0.545728,227.523
cat_1000x600 (Copy 1288).jpg,1,1000,600,132.648,0.190432,0.142752,0.494816,113.768
cat_1000x600 (Copy 75).jpg,0,1000,600,165.086,0.198848,0.24192,0.531616,145.924
cat_1000x600 (Copy 1078).jpg,1,1000,600,159.052,0.197632,0.151904,0.512864,139.99
cat_1000x600 (Copy 511).jpg,0,1000,600,165.042,0.203616,0.270112,0.555712,145.944
cat_1000x600 (Copy 1173).jpg,0,1000,600,178.188,0.205824,0.197056,0.537504,159.102
cat_1000x600 (Copy 714).jpg,1,1000,600,241.772,0.19632,0.151456,0.47232,222.607
cat_1000x600 (Copy 1911).jpg,0,1000,600,142.857,0.207744,0.197216,0.55792,123.625
cat_1000x600 (Copy 1167).jpg,1,1000,600,164.715,0.23552,0.170176,0.364,146.045
cat_1000x600 (Copy 1696).jpg,0,1000,600,136.727,0.196608,0.270272,0.544,117.526
cat_1000x600 (Copy 700).jpg,1,1000,600,158.162,0.189376,0.142656,0.487744,139.282
cat_1000x600 (Copy 1408).jpg,0,1000,600,156.433,0.21088,0.224736,0.421376,137.516
cat_1000x600 (Copy 1012).jpg,1,1000,600,288.053,0.195488,0.124384,0.421312,269.219
cat_1000x600 (Copy 1354).jpg,1,1000,600,136.452,0.196608,0.161216,0.476,117.643
cat_1000x600 (Copy 494).jpg,0,1000,600,161.112,0.206848,0.25184,0.542912,141.622
cat_1000x600 (Copy 1834).jpg,0,1000,600,168.316,0.200704,0.190816,0.558592,149.088
cat_1000x600 (Copy 1259).jpg,1,1000,600,186.223,0.19456,0.152128,0.491936,167.306
cat_1000x600 (Copy 824).jpg,1,1000,600,126.121,0.187392,0.125152,0.385824,107.431
cat_1000x600 (Copy 1001).jpg,0,1000,600,126.825,0.196608,0.260992,0.417888,107.787
cat_1000x600 (Copy 1643).jpg,1,1000,600,175.833,0.191264,0.133024,0.364896,157.167
cat_1000x600 (Copy 558).jpg,0,1000,600,240.471,0.2048,0.251648,0.42096,221.632
cat_1000x600 (Copy 1489).jpg,0,1000,600,159.947,0.203776,0.242176,0.400832,140.929
cat_1000x600 (Copy 1821).jpg,1,1000,600,160.166,0.19456,0.639776,0.369664,141.246
cat_1000x600 (Copy 391).jpg,1,1000,600,143.006,0.198944,0.15184,0.47552,123.895
cat_1000x600 (Copy 1482).jpg,0,1000,600,155.785,0.2048,0.197568,0.560768,136.751
cat_1000x600 (Copy 44).jpg,1,1000,600,144.132,0.192512,0.132928,0.421824,125.281
cat_1000x600 (Copy 841).jpg,0,1000,600,406.604,0.201728,0.206848,0.419008,387.779
cat_1000x600 (Copy 1929).jpg,0,1000,600,132.196,0.200704,0.190624,0.412032,113.504
cat_1000x600 (Copy 1239).jpg,1,1000,600,245.107,0.19968,0.160288,0.38192,226.166
cat_1000x600 (Copy 319).jpg,1,1000,600,161.441,0.195584,0.133856,0.37728,142.9
cat_1000x600 (Copy 181).jpg,0,1000,600,177.105,0.204672,0.251808,0.43248,158.212
cat_1000x600 (Copy 1258).jpg,0,1000,600,183.918,0.203776,0.343808,0.402016,165.065
cat_1000x600 (Copy 823).jpg,1,1000,600,209.966,0.198464,0.151488,0.50944,190.971
cat_1000x600 (Copy 1109).jpg,1,1000,600,164.658,0.185344,0.151232,0.383712,146.046
