filename,gpu_id,width,height,total_ms,kernel_ms,h2d_ms,d2h_ms,io_ms
cat_1000x600 (Copy 2079).jpg,0,1000,600,348.471,0.08192,0.215456,0.542976,328.942
cat_1000x600 (Copy 3413).jpg,0,1000,600,550.854,0.072704,0.251648,0.429248,531.333
cat_1000x600 (Copy 1091).jpg,0,1000,600,689.835,0.073632,0.215456,0.55936,670.507
cat_1000x600 (Copy 873).jpg,0,1000,600,269.522,0.073664,0.197728,0.543264,249.989
cat_1000x600 (Copy 2541).jpg,0,1000,600,749.178,0.072704,0.251104,0.541376,729.91
cat_1000x600 (Copy 3916).jpg,0,1000,600,176.32,0.072704,0.197408,0.561792,156.906
cat_1000x600 (Copy 2677).jpg,0,1000,600,140.01,0.07168,0.197088,0.556992,120.724
cat_1000x600 (Copy 3694).jpg,0,1000,600,122.304,0.068608,0.206304,0.543424,103.156
cat_1000x600 (Copy 1265).jpg,0,1000,600,292.552,0.070656,0.251136,0.544384,273.298
cat_1000x600 (Copy 4885).jpg,0,1000,600,837.008,0.073728,0.19712,0.535584,817.462
cat_1000x600 (Copy 3087).jpg,0,1000,600,128.889,0.07456,0.250784,0.552416,109.593
cat_1000x600 (Copy 441).jpg,0,1000,600,673.135,0.073504,0.206336,0.56192,653.623
cat_1000x600 (Copy 886).jpg,0,1000,600,1664.3,0.072704,0.206944,0.564512,1592.42
cat_1000x600 (Copy 694).jpg,0,1000,600,1183.86,0.079744,0.270304,0.55456,1119.55
cat_1000x600 (Copy 4205).jpg,0,1000,600,2266.74,0.074752,0.1984,0.539904,2184.97
cat_1000x600 (Copy 1229).jpg,0,1000,600,1529.01,0.072704,0.197728,0.568608,1457.16
cat_1000x600 (Copy 3347).jpg,0,1000,600,2876.98,0.073728,0.251968,0.549152,2813.25
cat_1000x600 (Copy 3252).jpg,0,1000,600,425.848,0.074752,0.206912,0.619392,406.275
cat_1000x600 (Copy 1556).jpg,0,1000,600,549.04,0.072704,0.251168,0.575776,529.605
cat_1000x600 (Copy 2856).jpg,0,1000,600,482.886,0.073728,0.2064,0.56976,463.409
cat_1000x600 (Copy 3844).jpg,0,1000,600,403.717,0.07168,0.189888,0.423616,384.343
cat_1000x600 (Copy 3797).jpg,0,1000,600,975.738,0.074752,0.20576,0.543968,956.295
cat_1000x600 (Copy 4726).jpg,0,1000,600,267.13,0.07392,0.197088,0.53552,247.579
cat_1000x600 (Copy 1367).jpg,0,1000,600,1040.24,0.073664,0.206432,0.561696,1020.58
cat_1000x600 (Copy 1605).jpg,0,1000,600,131.22,0.073728,0.251232,0.539552,111.882
cat_1000x600 (Copy 2306).jpg,0,1000,600,594.286,0.070656,0.25984,0.402944,536.845
cat_1000x600 (Copy 1539).jpg,0,1000,600,607.028,0.07456,0.20624,0.5464,587.611
cat_1000x600 (Copy 4914).jpg,0,1000,600,231.697,0.073728,0.197056,0.561312,211.981
cat_1000x600 (Copy 4161).jpg,0,1000,600,310.081,0.074752,0.2416,0.5424,290.409
cat_1000x600 (Copy 3967).jpg,0,1000,600,874.678,0.073728,0.205568,0.577472,855.405
cat_1000x600 (Copy 2290).jpg,0,1000,600,168.274,0.074752,0.206336,0.555104,148.649
cat_1000x600 (Copy 1640).jpg,0,1000,600,623.44,0.071424,0.232608,0.414176,572.138
cat_1000x600 (Copy 4938).jpg,0,1000,600,513.329,0.073728,0.206944,0.543552,493.864
